11:41:59  [main] 	Initializing Control Panel
11:41:59  [main] 	Windows Version:  Home  64-bit
11:41:59  [main] 	XAMPP Version: 8.2.4
11:41:59  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
11:41:59  [main] 	Running with Administrator rights - good!
11:41:59  [main] 	XAMPP Installation Directory: "c:\xampp\"
11:41:59  [main] 	Checking for prerequisites
11:41:59  [main] 	All prerequisites found
11:41:59  [main] 	Initializing Modules
11:41:59  [Apache] 	XAMPP Apache is already running on port 80
11:41:59  [Apache] 	XAMPP Apache is already running on port 443
11:41:59  [main] 	Starting Check-Timer
11:41:59  [main] 	Control Panel Ready
11:42:07  [mysql] 	Installing service...
11:42:07  [mysql] 	Successful!
11:42:11  [mysql] 	Attempting to start MySQL service...
11:42:11  [mysql] 	Status change detected: running
11:42:18  [mysql] 	Status change detected: stopped
11:42:18  [mysql] 	Error: MySQL shutdown unexpectedly.
11:42:18  [mysql] 	This may be due to a blocked port, missing dependencies, 
11:42:18  [mysql] 	improper privileges, a crash, or a shutdown by another method.
11:42:18  [mysql] 	Press the Logs button to view error logs and check
11:42:18  [mysql] 	the Windows Event Viewer for more clues
11:42:18  [mysql] 	If you need more help, copy and post this
11:42:18  [mysql] 	entire log window on the forums
11:42:32  [mysql] 	Attempting to start MySQL service...
11:42:32  [mysql] 	Status change detected: running
11:42:39  [mysql] 	Status change detected: stopped
11:42:39  [mysql] 	Error: MySQL shutdown unexpectedly.
11:42:39  [mysql] 	This may be due to a blocked port, missing dependencies, 
11:42:39  [mysql] 	improper privileges, a crash, or a shutdown by another method.
11:42:39  [mysql] 	Press the Logs button to view error logs and check
11:42:39  [mysql] 	the Windows Event Viewer for more clues
11:42:39  [mysql] 	If you need more help, copy and post this
11:42:39  [mysql] 	entire log window on the forums
11:43:25  [mysql] 	Attempting to start MySQL service...
11:43:25  [mysql] 	Status change detected: running
11:43:32  [mysql] 	Status change detected: stopped
11:43:32  [mysql] 	Error: MySQL shutdown unexpectedly.
11:43:32  [mysql] 	This may be due to a blocked port, missing dependencies, 
11:43:32  [mysql] 	improper privileges, a crash, or a shutdown by another method.
11:43:32  [mysql] 	Press the Logs button to view error logs and check
11:43:32  [mysql] 	the Windows Event Viewer for more clues
11:43:32  [mysql] 	If you need more help, copy and post this
11:43:32  [mysql] 	entire log window on the forums
